[2025-11-19 13:37:08] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.645408
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999999
[2025-11-19 13:37:09] [INFO] Function: produceElement(), Line: 37, Message: 3'

[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.699604
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.699604
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.688588
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.688588
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.687028
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.687028
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.681120
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.681120
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.692023
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.692023
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.685558
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.685558
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.716211
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.716211
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.718380
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.718380
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.701563
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.701563
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999999
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.685005
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.685005
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.695716
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.695716
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.706546
[2025-11-19 13:37:09] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.706546
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999999
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.672209
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.672209
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999999
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.689285
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.689285
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.683713
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.683713
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.684714
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.684714
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 1.000000
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.709727
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.709727
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999999
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.668552
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.668552
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 191, Message: Liveness score: 0.999996
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 217, Message: Cosine similarity score: 0.688287
[2025-11-19 13:37:10] [INFO] Function: loginWithFace(), Line: 220, Message: ✅ Match found! Cosine = 0.688287
